Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Ürün puan sayısı (product.metafields.reviews.rating_count),Renk (product.metafields.shopify.color-pattern),Hedef Cinsiyet (product.metafields.shopify.target-gender),Tamamlayıcı ürünler (product.metafields.shopify--discovery--product_recommendation.complementary_products),Alakalı ürünler (product.metafields.shopify--discovery--product_recommendation.related_products),İlgili ürün ayarları (product.metafields.shopify--discovery--product_recommendation.related_products_display),Ürün tanıtımlarında ara (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
lipton-yellow-label-loose-dkme-siyah-ay-1000-gr-3,Lipton Yellow Label Loose Dökme Siyah Çay 1000 gr 3 Adet,"Lipton Lipton Yellow Label Loose Dökme Siyah Çay 1000 gr 3 Adet. <h3>Ürün Özellikleri:</h3><ul>
<li>
<strong>Ağırlık:</strong> 3 kg</li>
<li>
<strong>Menşei:</strong> TR</li>
</ul>",Lipton,,Genel,"Ağırlık: 3 kg, Menşei: TR",true,Renk,Varsayılan,,Beden,Standart,,,,,lipton-yellow-label-loose-dkme-siyah-ay-1000-gr-3--varsayılan-standart,0.0,,25,deny,manual,770.44,,true,true,,https://cdn.shopify.com/s/files/1/0626/0149/4576/files/1_org_zoom_4a2e420a-a4ab-45ea-8dcc-567bce567983.jpg?v=1750796330,1,Lipton Yellow Label Loose Dökme Siyah Çay 1000 gr 3 Adet Varsayılan Standart,false,Lipton Yellow Label Loose Dökme Siyah Çay 1000 gr 3 Adet | Lipton,Lipton Lipton Yellow Label Loose Dökme Siyah Çay 1000 gr 3 Adet. <h3>Ürün Özellikleri:</h3><ul><li><strong>Ağırlık:</strong> 3 kg</li><li><strong>Menşei:</stron,,,,,,,,,,,,,,,,,,,,,kg,,669.95,active
lipton-yellow-label-loose-dkme-siyah-ay-1000-gr-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0626/0149/4576/files/1_org_zoom_f97213c2-15a5-4967-ae55-8020ecbc1b72.jpg?v=1750796330,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,
lipton-yellow-label-loose-dkme-siyah-ay-1000-gr-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0626/0149/4576/files/1_org_zoom_df0d63b9-2ce8-46e3-8f79-9779128088cf.jpg?v=1750796330,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,
lipton-yellow-label-loose-dkme-siyah-ay-1000-gr-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0626/0149/4576/files/1_org_zoom_f048761e-375d-432a-8078-a28b0c86bb7e.jpg?v=1750796330,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,
lipton-yellow-label-loose-dkme-siyah-ay-1000-gr-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0626/0149/4576/files/1_org_zoom_0bc955f4-0bb3-42f7-9f7e-99d9f712fec0.jpg?v=1750796330,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,
lipton-yellow-label-loose-dkme-siyah-ay-1000-gr-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0626/0149/4576/files/1_org_zoom_2f42fc83-069d-4152-ab7b-385ac7daff3d.jpg?v=1750796330,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,
lipton-yellow-label-loose-dkme-siyah-ay-1000-gr-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0626/0149/4576/files/1_org_zoom_de142dbc-e317-4c46-80ac-f71071be09c4.jpg?v=1750796330,7,"",,,,,,,,,,,,,,,,,,,,,,,,,,,
petozi-elekli-kapal-kedi-tuvaleti-xl-boy-40x375x50,"Petozi Elekli Kapalı Kedi Tuvaleti Xl Boy 40x37,5x50 Cm ( Kürek Hediyeli)","Petozi Petozi Elekli Kapalı Kedi Tuvaleti Xl Boy 40x37,5x50 Cm ( Kürek Hediyeli). <h3>Ürün Özellikleri:</h3><ul>
<li>
<strong>Tip:</strong> Kapalı</li>
<li>
<strong>Renk:</strong> Gri</li>
<li>
<strong>Menşei:</strong> TR</li>
<li>
<strong>Üretici Bilgisi:</strong> Tree Teknoloji internet ve bilişim hizmetleri tic. ltd. şti - Alibey Mah. Hasan Tüfekçioğlu Sokak no:7/a - Silivri-İstanbul - satis@treeteknoloji.com-treeteknoloji@hs01.kep.tr</li>
</ul>",Petozi,Uncategorized,Genel,"kedi, Menşei: TR, petshop, Renk: Gri, Tip: Kapalı, Üretici Bilgisi: Tree Teknoloji internet ve bilişim hizmetleri tic. ltd. şti - Alibey Mah. Hasan Tüfekçioğlu Sokak no:7/a - Silivri-İstanbul - satis@treeteknoloji.com-treeteknoloji@hs01.kep.tr",true,Renk,Varsayılan,,Beden,Standart,,,,,petozi-elekli-kapal-kedi-tuvaleti-xl-boy-40x375x50-varsayılan-standart,0.0,,25,deny,manual,616.00,,true,true,,https://cdn.shopify.com/s/files/1/0626/0149/4576/files/1_org_zoom_f9cc0b32-397b-4eb1-8c39-a56fbfafdb49.jpg?v=1750795191,1,"Petozi Elekli Kapalı Kedi Tuvaleti Xl Boy 40x37,5x50 Cm ( Kürek Hediyeli) Varsayılan Standart",false,"Petozi Elekli Kapalı Kedi Tuvaleti Xl Boy 40x37,5x50 Cm ( Kürek Hediyeli) | Petozi","Petozi Petozi Elekli Kapalı Kedi Tuvaleti Xl Boy 40x37,5x50 Cm ( Kürek Hediyeli). <h3>Ürün Özellikleri:</h3><ul><li><strong>Tip:</strong> Kapalı</li><li><strong",,,,,,,,,,,,,,,,,,,,,kg,,560.00,active
petozi-elekli-kapal-kedi-tuvaleti-xl-boy-40x375x50,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0626/0149/4576/files/1_org_zoom_570db7e9-270e-40a4-a8b6-fa4aef3cb165.jpg?v=1750795191,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,
petozi-elekli-kapal-kedi-tuvaleti-xl-boy-40x375x50,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0626/0149/4576/files/1_org_zoom_e45bee31-6920-49e9-9788-273abdaa9dfb.jpg?v=1750795191,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,
petozi-elekli-kapal-kedi-tuvaleti-xl-boy-40x375x50,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0626/0149/4576/files/1_org_zoom_99682b0f-ac26-47ae-8977-5c4caf58214e.jpg?v=1750795191,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,
petozi-elekli-kapal-kedi-tuvaleti-xl-boy-40x375x50,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0626/0149/4576/files/1_org_zoom_0de0702c-487b-4414-8bb5-df6721e4a217.jpg?v=1750795191,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,
petozi-elekli-kapal-kedi-tuvaleti-xl-boy-40x375x50,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0626/0149/4576/files/1_org_zoom_2eb87766-fe0f-4035-94f4-91d4a9646783.jpg?v=1750795191,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,
petozi-elekli-kapal-kedi-tuvaleti-xl-boy-40x375x50,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0626/0149/4576/files/1_org_zoom_32d8485c-5cf9-46f1-8ee4-365216f003a7.jpg?v=1750795191,7,"",,,,,,,,,,,,,,,,,,,,,,,,,,,
petozi-elekli-kapal-kedi-tuvaleti-xl-boy-40x375x50,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0626/0149/4576/files/1_org_zoom_8f03ef0f-033b-478b-adec-32f92506bd3b.jpg?v=1750795191,8,"",,,,,,,,,,,,,,,,,,,,,,,,,,,
